Reporter Identifier	VALUE
ILMN_1680941	6.344
ILMN_1652594	9.06
ILMN_1697585	10.92
ILMN_1689162	8.219
ILMN_1815392	7.068
ILMN_1760490	9.396
ILMN_1786544	6.576
ILMN_1763916	6.803
ILMN_2243308	10.37
ILMN_1766723	6.468
ILMN_1689217	6.298
ILMN_1670912	7.031
ILMN_2152711	8.102
ILMN_1668983	6.476
ILMN_1824337	6.164
ILMN_1807493	6.373
ILMN_1683883	11.79
ILMN_1670193	6.467
ILMN_2319825	7.041
ILMN_1694233	8.92
ILMN_1686432	6.921
ILMN_1697550	6.955
ILMN_2158705	9.007
ILMN_1803686	9.293
ILMN_1745580	6.256
ILMN_1745108	6.515
ILMN_1725043	7.762
ILMN_2148360	7.369
ILMN_1718946	9.77
ILMN_1711374	6.652
ILMN_1726266	6.607
ILMN_1705689	6.504
ILMN_1785393	6.277
ILMN_2384544	9.861
ILMN_1756920	13.68
ILMN_1799728	7.664
ILMN_1751500	9.295
ILMN_2121068	7.807
ILMN_1765779	6.96
ILMN_2201386	6.479
ILMN_1682225	6.45
ILMN_1788481	6.274
ILMN_1713751	6.448
ILMN_1662675	8.549
ILMN_1737629	6.352
ILMN_1812112	6.525
ILMN_1675210	7.428
ILMN_1706302	6.466
ILMN_2351754	6.529
ILMN_2060086	6.603
ILMN_1664236	6.637
ILMN_1664631	6.561
ILMN_1802100	6.232
ILMN_2194158	6.648
ILMN_2100871	6.515
ILMN_1703383	6.343
ILMN_1806841	6.629
ILMN_1798045	6.261
ILMN_2293012	6.245
ILMN_1651657	6.816
ILMN_1671297	6.599
ILMN_1669486	6.307
ILMN_1795204	6.279
ILMN_2223911	6.187
ILMN_1685531	6.593
ILMN_1764554	6.527
ILMN_2302214	6.468
ILMN_1783312	6.809
ILMN_2143210	6.541
ILMN_1750294	7.719
ILMN_1708348	6.72
ILMN_1727524	9.956
ILMN_1716909	6.42
ILMN_2103107	6.156
ILMN_1673566	11.41
ILMN_1751168	6.906
ILMN_1660970	6.178
ILMN_1787386	6.336
ILMN_2286570	6.422
ILMN_2413732	7.116
ILMN_1873412	6.483
ILMN_1676452	6.262
ILMN_2358134	6.316
ILMN_1683781	6.543
ILMN_1726247	6.531
ILMN_1682989	6.371
ILMN_1739872	6.631
ILMN_1770152	6.293
ILMN_1656171	6.788
ILMN_1796628	6.385
ILMN_1811765	6.331
ILMN_1791795	6.248
ILMN_1787908	6.492
ILMN_1651717	6.391
ILMN_1703803	6.389
ILMN_2092933	6.521
ILMN_1681886	6.4
ILMN_1767362	6.567
ILMN_2211790	6.611
ILMN_1672403	6.619
ILMN_1805543	6.563
ILMN_1706992	6.515
ILMN_1684919	6.185
ILMN_1727084	6.244
ILMN_1705250	6.736
ILMN_1722621	6.179
ILMN_1721495	6.544
ILMN_1798690	6.465
ILMN_1687035	6.723
ILMN_1777683	6.468
ILMN_1762294	6.593
ILMN_1793040	6.698
ILMN_1776777	11.93
ILMN_1706963	6.442
ILMN_2320964	10.23
ILMN_1697628	7.036
ILMN_2319326	8.165
ILMN_1657442	6.622
ILMN_1679797	10.04
ILMN_1749493	6.404
ILMN_1657139	9.208
ILMN_1806275	8.264
ILMN_1659599	6.689
ILMN_1698777	8.831
ILMN_1663132	10.84
ILMN_1700349	8.227
ILMN_1761309	7.666
ILMN_2120555	8.346
ILMN_1742073	6.939
ILMN_1810691	7.594
ILMN_1676893	9.99
ILMN_2148944	6.218
ILMN_1708588	6.308
ILMN_2311674	7.496
ILMN_1685156	8.23
ILMN_1655935	7.439
ILMN_1754440	6.547
ILMN_1654287	7.032
ILMN_1763344	6.882
ILMN_1711736	6.346
ILMN_2356786	7.459
ILMN_1759252	12.33
ILMN_1678791	6.449
ILMN_2336146	6.419
ILMN_2286339	6.317
ILMN_1694133	6.503
ILMN_1678501	6.317
ILMN_1787378	9.662
ILMN_1814526	10.77
ILMN_2311278	9.426
ILMN_2138765	6.935
ILMN_1801077	7.037
ILMN_1764309	7.964
ILMN_1811598	6.352
ILMN_1740717	7.563
ILMN_2136010	6.735
ILMN_1797912	6.432
ILMN_1738604	7.22
ILMN_1691175	6.721
ILMN_2223359	6.401
ILMN_1702858	6.585
ILMN_2363634	6.236
ILMN_1813975	10.16
ILMN_1743331	6.328
ILMN_1775045	6.559
ILMN_2096322	9.77
ILMN_1688322	10.53
ILMN_2224833	10.75
ILMN_2358626	10.74
ILMN_1768062	7.714
ILMN_2358628	6.479
ILMN_1801020	8.354
ILMN_1708934	8.519
ILMN_1702933	10.68
ILMN_1657993	10.49
ILMN_1666019	7.859
ILMN_2080751	9.969
ILMN_1690352	10.03
ILMN_2275396	6.443
ILMN_2373444	6.473
ILMN_1747227	7.085
ILMN_1807372	7.112
ILMN_1703946	8.074
ILMN_1733259	6.125
ILMN_1730710	8.855
ILMN_1793959	9.789
ILMN_1794512	6.578
ILMN_1795788	6.649
ILMN_1760335	10.22
ILMN_1788530	7.716
ILMN_1811480	9.934
ILMN_1813598	6.041
ILMN_1653821	6.467
ILMN_1780551	6.463
ILMN_1669227	6.713
ILMN_1709167	6.888
ILMN_1679754	6.63
ILMN_1716421	6.753
ILMN_1659371	9.479
ILMN_1677868	7.004
ILMN_1707445	6.238
ILMN_1733963	6.85
ILMN_1804255	6.499
ILMN_1695590	10.04
ILMN_1694007	6.706
ILMN_1673330	6.089
ILMN_1668900	6.592
ILMN_2389013	10.2
ILMN_1760143	11.38
ILMN_1790757	12.35
ILMN_2092664	10.9
ILMN_1778796	10.24
ILMN_1749804	6.569
ILMN_1720235	7.894
ILMN_2240009	6.969
ILMN_1736178	6.826
ILMN_1803376	8.317
ILMN_1712944	10.89
ILMN_2333107	9.842
ILMN_1707958	6.472
ILMN_1660424	6.326
ILMN_1701998	7.456
ILMN_1651235	6.501
ILMN_1694140	6.485
ILMN_1730995	6.652
ILMN_2404917	6.511
ILMN_1702696	6.877
ILMN_2084562	6.628
ILMN_1769563	6.469
ILMN_1673119	7.122
ILMN_2129015	8.813
ILMN_1725889	6.566
ILMN_1775235	8.694
ILMN_1677951	6.451
ILMN_1708502	9.883
ILMN_1705447	8.287
ILMN_1699172	6.868
ILMN_2409898	6.424
ILMN_2295698	6.309
ILMN_2066124	11.34
ILMN_1777797	6.394
ILMN_2095653	7.376
ILMN_1707551	11.03
ILMN_1782204	6.455
ILMN_2402766	8.091
ILMN_1767722	7.329
ILMN_2342841	7.826
ILMN_1802631	10.05
ILMN_2100055	6.353
ILMN_1887648	6.183
ILMN_1688627	6.319
ILMN_1672767	6.329
ILMN_2196642	6.199
ILMN_2308689	9.378
ILMN_2290776	7.618
ILMN_1777182	6.7
ILMN_1729777	6.614
ILMN_1690829	6.384
ILMN_2257015	6.568
ILMN_2064917	10.58
ILMN_1776153	8.01
ILMN_1772645	10.69
ILMN_1775082	6.434
ILMN_1680343	6.504
ILMN_2277492	6.549
ILMN_2371825	9.706
ILMN_1717468	6.174
ILMN_2274377	6.413
ILMN_1750235	6.445
ILMN_1664006	7.638
ILMN_1707169	6.447
ILMN_1779109	6.327
ILMN_1697790	6.289
ILMN_1679520	8.795
ILMN_1732176	7.952
ILMN_1681081	8.046
ILMN_2377430	8.845
ILMN_1661373	7.251
ILMN_2288175	6.495
ILMN_1654010	8.119
ILMN_1732672	6.223
ILMN_1730504	6.488
ILMN_1662049	8.938
ILMN_1740752	7.337
ILMN_1674759	7.083
ILMN_1794875	6.357
ILMN_1698209	8.684
ILMN_1814151	6.973
ILMN_2050246	6.405
ILMN_1728787	6.705
ILMN_2234605	6.502
ILMN_1770454	8.654
ILMN_1770336	6.04
ILMN_1714253	6.38
ILMN_1813530	6.321
ILMN_2223922	7.317
ILMN_1718071	8.932
ILMN_1814327	6.419
ILMN_2341343	6.265
